0.032182,0.973968
0.022226,0.973989
0.021502,0.973974
0.037381,0.973961
0.027480,0.973988
0.021656,0.973986
0.017051,0.973969
0.031552,0.973971
0.032066,0.973984
0.036712,0.973971
0.024688,0.973980
0.024409,0.973986
0.027361,0.973972
0.038039,0.973963
0.024774,0.973966
0.030223,0.973983
0.024884,0.973979
0.024451,0.973991
0.020349,0.973979
0.034173,0.973929
0.025070,0.973984
0.021378,0.973978
0.019242,0.973976
0.019954,0.973983
0.025293,0.973977
0.023564,0.973991
0.023118,0.973977
0.021294,0.973966
0.031715,0.973983
0.019862,0.973931
0.021760,0.973989
0.020301,0.973947
0.051632,0.973962
0.022780,0.973987
0.069959,0.973944
0.048369,0.973960
0.055241,0.973990
0.019955,0.973985
0.044179,0.973960
0.036403,0.973961
0.070421,0.973966
0.036840,0.973976
0.024707,0.973983
0.073978,0.973964
0.065893,0.973966
0.091369,0.973956
0.029439,0.973959
0.028905,0.973983
0.090147,0.973940
0.064982,0.973974
0.035747,0.973974
0.073447,0.973914
0.079020,0.973982
0.067579,0.973952
0.021554,0.973975
0.020021,0.973982
0.088923,0.973974
0.080512,0.973981
0.041894,0.973982
0.025330,0.973962
0.098472,0.973961
0.029910,0.973939
0.049023,0.973978
0.025219,0.973954
0.147840,0.973957
0.159612,0.973938
0.116911,0.973869
0.147281,0.973903
0.051130,0.973984
0.121101,0.973822
0.090762,0.973908
0.147211,0.973948
0.131515,0.973915
0.115156,0.973947
0.164595,0.973937
0.135681,0.973962
0.191113,0.973885
0.140161,0.973733
0.068487,0.973950
0.172131,0.973884
0.121923,0.973880
0.062442,0.973962
0.108982,0.973942
0.155436,0.973566
0.125162,0.973767
0.167054,0.973902
0.117088,0.973934
0.169194,0.973927
0.185936,0.972626
0.100165,0.973971
0.154578,0.973876
0.135806,0.973701
0.173615,0.973838
0.170732,0.973784
0.103985,0.973974
0.152395,0.973892
0.270614,0.973195
0.225993,0.973672
0.267069,0.973705
0.247302,0.973796
0.202793,0.973799
0.195588,0.973830
0.186824,0.973853
0.202608,0.973559
0.151741,0.973639
0.248691,0.973719
0.258335,0.971271
0.283301,0.973750
0.261962,0.973516
0.224233,0.972886
0.187347,0.973798
0.244491,0.972014
0.294209,0.973829
0.249282,0.970232
0.268038,0.971675
0.218588,0.972858
0.257549,0.973876
0.196733,0.973858
0.232737,0.973904
0.294786,0.973776
0.251303,0.972751
0.245107,0.972898
0.203507,0.973701
0.201971,0.973945
0.265072,0.973926
0.205838,0.971864
0.194866,0.973559
0.173704,0.973576
0.023057,0.973986
0.025618,0.973988
0.019148,0.973975
0.027002,0.973964
0.026913,0.973973
0.017907,0.973964
0.020152,0.973979
0.029130,0.973921
0.021495,0.973958
0.030610,0.973992
0.025582,0.973959
0.042779,0.973969
0.037158,0.973983
0.016057,0.973965
0.018606,0.973968
0.020962,0.973991
0.020747,0.973956
0.021510,0.973985
0.027642,0.973978
0.027165,0.973978
0.028810,0.973992
0.028830,0.973986
0.030954,0.973980
0.025050,0.973987
0.025211,0.973975
0.016659,0.973975
0.020008,0.973973
0.021880,0.973991
0.034084,0.973949
0.027406,0.973972
0.024128,0.973983
0.026028,0.973953
0.079486,0.973967
0.042082,0.973982
0.024358,0.973973
0.074201,0.973931
0.037034,0.973971
0.061700,0.973864
0.093269,0.973973
0.029142,0.973921
0.087014,0.973871
0.100626,0.973974
0.036895,0.973960
0.100313,0.973961
0.099160,0.973913
0.022136,0.973958
0.040903,0.973972
0.086829,0.973973
0.086280,0.973926
0.026414,0.973981
0.035559,0.973974
0.058426,0.973959
0.042711,0.973984
0.091138,0.973888
0.056636,0.973983
0.065516,0.973982
0.034603,0.973967
0.050135,0.973960
0.048469,0.973963
0.099066,0.973905
0.048201,0.973935
0.058137,0.973960
0.046716,0.973986
0.061601,0.973891
0.125475,0.973875
0.144064,0.973883
0.146803,0.973948
0.189442,0.973877
0.141810,0.973858
0.112696,0.973940
0.152055,0.973956
0.143131,0.973005
0.124192,0.973773
0.102527,0.973933
0.190062,0.973051
0.144546,0.973908
0.172132,0.973829
0.121589,0.973705
0.178420,0.973023
0.117902,0.973978
0.152605,0.973549
0.051284,0.973991
0.144563,0.973789
0.084485,0.973873
0.186198,0.973079
0.124379,0.973971
0.163457,0.973866
0.186127,0.973800
0.045934,0.973967
0.086082,0.973947
0.178083,0.973956
0.173239,0.973781
0.087965,0.973876
0.194170,0.973927
0.149414,0.973793
0.122754,0.973891
0.257533,0.972448
0.186352,0.973202
0.196659,0.973934
0.283642,0.973502
0.266405,0.973909
0.262765,0.973773
0.249961,0.971627
0.287728,0.969499
0.274958,0.973135
0.233433,0.973571
0.177172,0.973159
0.139008,0.973812
0.206379,0.973874
0.228188,0.973649
0.246408,0.972994
0.254849,0.973689
0.203832,0.971757
0.173592,0.973773
0.266939,0.972839
0.240104,0.973678
0.252558,0.973069
0.263626,0.972659
0.250888,0.973633
0.243669,0.972799
0.199971,0.973935
0.254334,0.973776
0.242814,0.972905
0.221959,0.973865
0.276883,0.973860
0.229754,0.973716
0.285051,0.973936
0.257137,0.973646
0.034933,0.973980
0.026083,0.973936
0.019681,0.973968
0.023940,0.973958
0.020337,0.973973
0.032041,0.973975
0.024731,0.973979
0.021785,0.973952
0.024456,0.973991
0.028994,0.973981
0.019533,0.973956
0.030664,0.973981
0.039068,0.973985
0.052999,0.973942
0.020783,0.973954
0.022844,0.973971
0.022417,0.973988
0.021968,0.973991
0.038880,0.973950
0.029403,0.973948
0.022732,0.973932
0.031140,0.973977
0.022290,0.973976
0.023274,0.973961
0.020233,0.973974
0.034126,0.973960
0.023967,0.973984
0.020044,0.973959
0.019744,0.973935
0.028516,0.973974
0.038888,0.973970
0.028615,0.973956
0.045247,0.973983
0.059485,0.973929
0.058805,0.973963
0.025300,0.973960
0.067070,0.973973
0.090493,0.973960
0.043637,0.973980
0.022473,0.973951
0.032026,0.973989
0.071687,0.973959
0.042284,0.973963
0.053059,0.973933
0.075256,0.973965
0.082545,0.973904
0.096121,0.973936
0.084301,0.973911
0.082428,0.973951
0.022204,0.973990
0.053348,0.973943
0.053259,0.973937
0.058249,0.973833
0.063212,0.973955
0.052383,0.973975
0.023978,0.973965
0.032519,0.973973
0.043642,0.973936
0.095825,0.973971
0.026547,0.973960
0.050372,0.973906
0.064003,0.973975
0.100329,0.973968
0.067292,0.973911
0.119532,0.973946
0.116513,0.973879
0.124065,0.973933
0.160300,0.973916
0.171257,0.973954
0.114803,0.973947
0.067199,0.973951
0.190935,0.973796
0.171770,0.973580
0.103414,0.973958
0.155731,0.973068
0.053858,0.973965
0.152909,0.973951
0.140904,0.973806
0.186582,0.973937
0.129155,0.973877
0.130380,0.973682
0.139779,0.973873
0.098621,0.973913
0.113948,0.973855
0.161335,0.973924
0.181762,0.973361
0.104725,0.973961
0.047195,0.973968
0.112353,0.973836
0.135793,0.973900
0.129419,0.973965
0.133056,0.973925
0.101468,0.973055
0.161477,0.973737
0.151533,0.973883
0.191534,0.973691
0.107274,0.973865
0.217547,0.973674
0.280343,0.973730
0.233709,0.973628
0.258783,0.973921
0.199439,0.973738
0.181525,0.973825
0.197532,0.973941
0.188499,0.973728
0.245320,0.973169
0.208671,0.971084
0.261137,0.973892
0.261302,0.973295
0.282271,0.972018
0.240867,0.973424
0.195435,0.972214
0.288324,0.973780
0.274450,0.973445
0.195107,0.972996
0.213754,0.973716
0.270455,0.971409
0.273308,0.973194
0.231970,0.973913
0.190325,0.973799
0.187900,0.973771
0.247034,0.971610
0.241497,0.972852
0.195745,0.973311
0.255314,0.970276
0.203175,0.973752
0.260871,0.972733
0.193005,0.973893
0.021859,0.973991
0.017921,0.973981
0.024944,0.973985
0.034368,0.973979
0.035938,0.973938
0.044881,0.973968
0.037125,0.973978
0.022920,0.973961
0.025242,0.973975
0.026839,0.973967
0.047584,0.973976
0.019933,0.973953
0.018742,0.973979
0.035186,0.973929
0.020456,0.973943
0.024514,0.973979
0.022800,0.973969
0.019344,0.973991
0.018748,0.973983
0.033040,0.973991
0.023303,0.973987
0.035332,0.973755
0.038703,0.973979
0.029688,0.973926
0.047326,0.973968
0.051228,0.973961
0.033748,0.973992
0.033510,0.973925
0.038767,0.973967
0.017851,0.973988
0.026717,0.973966
0.039072,0.973970
0.029597,0.973991
0.062770,0.973973
0.087989,0.973961
0.092150,0.973892
0.039185,0.973919
0.049912,0.973962
0.091686,0.973915
0.022231,0.973951
0.027436,0.973974
0.033998,0.973959
0.054062,0.973968
0.025519,0.973953
0.019453,0.973980
0.088620,0.973829
0.051079,0.973923
0.032103,0.973982
0.022956,0.973973
0.058240,0.973973
0.058866,0.973955
0.056359,0.973983
0.087097,0.973956
0.035334,0.973799
0.067944,0.973972
0.055381,0.973906
0.059974,0.973972
0.087201,0.973916
0.043641,0.973985
0.056516,0.973941
0.093856,0.973926
0.085253,0.973961
0.069024,0.973960
0.096151,0.973953
0.124735,0.973842
0.143863,0.973876
0.176075,0.973827
0.163819,0.973202
0.181708,0.973899
0.064306,0.973935
0.124729,0.973881
0.147408,0.973959
0.116365,0.973902
0.120762,0.973887
0.132424,0.973924
0.136889,0.973864
0.092968,0.973969
0.138927,0.973870
0.149039,0.973841
0.146512,0.973809
0.105641,0.973800
0.164923,0.973932
0.097937,0.973979
0.152182,0.973630
0.136725,0.973615
0.128040,0.972997
0.110916,0.973952
0.160649,0.973467
0.134130,0.973712
0.151174,0.973861
0.195893,0.973859
0.150303,0.973894
0.145227,0.973906
0.124971,0.973832
0.165179,0.973926
0.134328,0.973960
0.224116,0.973844
0.225036,0.973865
0.079912,0.973891
0.251591,0.971671
0.198710,0.973926
0.247896,0.973270
0.239206,0.973615
0.212008,0.973736
0.192735,0.973062
0.273972,0.972612
0.215317,0.973694
0.255118,0.973756
0.229448,0.973948
0.207833,0.973912
0.224626,0.973871
0.261987,0.973539
0.255516,0.973845
0.145439,0.973632
